#Week,Date,GameID,Site,NumPoss,HomeID,HomeName,HomeScore,AwayID,AwayName,AwayScore,HomeYards,AwayYards,HomePass,AwayPass,HomeRush,AwayRush,HomeTOs,AwayTOs,HomePen,AwayPen,HomePassPlays,AwayPassPlays,HomeRunPlays,AwayRunPlays,HomeFirstDowns,AwayFirstDowns,HomeScores,AwayScores
889,20170909,20170909-1327-1458,KANSAS ST.,155,1327,KANSAS ST.,55,1458,CHARLOTTE,7,617,292,189,58,304,110,0,3,5,7,23,25,51,28,28,10,9,1
889,20170909,20170909-1529-1463,OREGON,180,1529,OREGON,42,1463,NEBRASKA,35,679,399,365,252,201,109,2,4,12,3,33,41,44,29,22,19,6,5
889,20170909,20170909-1295-1465,IDAHO,159,1295,IDAHO,16,1465,UNLV,44,476,640,261,193,123,357,1,1,4,5,34,16,36,50,18,22,3,8
889,20170909,20170909-1473-1472,NEW MEXICO,198,1473,NEW MEXICO,28,1472,NEW MEXICO ST.,30,509,536,254,401,176,99,4,2,13,10,38,57,37,26,21,23,5,5
889,20170909,20170909-1663-1497,SMU,180,1663,SMU,54,1497,NORTH TEXAS,32,523,579,394,424,99,69,1,3,4,7,41,47,34,27,20,22,8,5
889,20170909,20170909-1193-1509,DUKE,185,1193,DUKE,41,1509,NORTHWESTERN,17,556,274,305,169,233,22,2,3,8,3,45,33,59,21,34,15,7,3
889,20170909,20170909-1518-1522,OHIO ST.,163,1518,OHIO ST.,16,1522,OKLAHOMA,31,406,569,183,386,167,104,1,2,9,3,35,35,34,37,21,27,4,5
889,20170909,20170909-1400-1523,MASSACHUSETTS,174,1400,MASSACHUSETTS,7,1523,OLD DOMINION,17,386,434,253,169,79,197,0,0,3,5,37,29,36,48,20,19,1,3
889,20170909,20170909-1539-1545,PENN ST.,162,1539,PENN ST.,33,1545,PITTSBURGH,14,436,377,164,187,148,155,1,3,1,6,28,41,24,45,14,24,5,3
889,20170909,20170909-1704-1574,UTEP,147,1704,UTEP,14,1574,RICE,31,236,468,203,131,26,306,1,1,2,4,33,18,24,49,12,22,2,5
889,20170909,20170909-1028-1626,ARIZONA ST.,153,1028,ARIZONA ST.,20,1626,SAN DIEGO ST.,30,373,483,298,73,49,279,1,0,5,12,33,18,31,43,15,14,3,6
889,20170909,20170909-1703-1630,TEXAS,168,1703,TEXAS,56,1630,SAN JOSE ST.,0,667,308,217,129,406,42,0,2,6,7,29,29,59,23,32,8,8,0
889,20170909,20170909-1434-1648,MISSOURI,162,1434,MISSOURI,13,1648,SOUTH CAROLINA,31,474,480,245,187,178,172,3,0,4,4,32,28,37,40,21,20,3,5
889,20170909,20170909-1157-1670,COLORADO,172,1157,COLORADO,37,1670,TEXAS ST.,3,546,325,339,127,91,156,0,2,5,2,36,18,41,47,21,12,7,1
889,20170909,20170909-1719-1671,TULSA,194,1719,TULSA,66,1671,LA.-LAFAYETTE,42,774,728,243,309,424,287,1,2,5,7,20,34,72,41,33,27,10,7
889,20170909,20170909-1657-1674,SOUTHERN CALIFORNIA,152,1657,SOUTHERN CALIFORNIA,42,1674,STANFORD,24,623,511,316,172,307,170,2,0,8,7,26,28,48,26,28,16,6,4
889,20170909,20170909-1031-1698,ARKANSAS,151,1031,ARKANSAS,7,1698,TCU,28,316,435,138,166,129,195,1,2,5,6,23,31,31,42,13,24,1,4
889,20170909,20170909-1051-1706,BAYLOR,152,1051,BAYLOR,10,1706,UTSA,17,306,401,137,155,137,220,1,1,10,10,27,20,31,45,14,20,2,3
889,20170909,20170909-1466-1709,NEVADA,179,1466,NEVADA,24,1709,TOLEDO,37,434,451,277,232,109,194,2,0,9,14,37,27,24,60,22,28,4,7
