20190914,CHARLOTTE,1458,1400,CHARLOTTE,MASSACHUSETTS
20190914,SOUTH ALA.,1646,1404,SOUTH ALA.,MEMPHIS
20190914,CINCINNATI,1140,1414,CINCINNATI,MIAMI (OH)
20190914,NORTHWESTERN,1509,1465,NORTHWESTERN,UNLV
20190914,NOTRE DAME,1513,1473,NOTRE DAME,NEW MEXICO
20190914,WEST VIRGINIA,1768,1490,WEST VIRGINIA,NORTH CAROLINA ST.
20190914,CALIFORNIA,1107,1497,CALIFORNIA,NORTH TEXAS
20190914,NEBRASKA,1463,1503,NEBRASKA,NORTHERN ILL.
20190914,INDIANA,1306,1518,INDIANA,OHIO ST.
20190914,MARSHALL,1388,1519,MARSHALL,OHIO
20190914,TULSA,1719,1521,TULSA,OKLAHOMA ST.
20190914,UCLA,1110,1522,UCLA,OKLAHOMA
20190914,PENN ST.,1539,1545,PENN ST.,PITTSBURGH
20190914,NEW MEXICO ST.,1472,1626,NEW MEXICO ST.,SAN DIEGO ST.
20190914,BYU,1077,1657,BYU,SOUTHERN CALIFORNIA
20190914,TROY,1716,1664,TROY,SOUTHERN MISS.
20190914,SMU,1663,1670,SMU,TEXAS ST.
20190914,UCF,1128,1674,UCF,STANFORD
20190914,PURDUE,1559,1698,PURDUE,TCU
20190914,ARIZONA,1029,1700,ARIZONA,TEXAS TECH
20190914,NEUTRAL,1574,1703,RICE,TEXAS
20190914,COLORADO,1157,1721,COLORADO,AIR FORCE
20190914,UTSA,1706,1725,UTSA,ARMY
20190919,TULANE,1718,1288,TULANE,HOUSTON
20190920,LOUISIANA TECH,1366,1231,LOUISIANA TECH,FIU
20190920,BOISE ST.,1066,1721,BOISE ST.,AIR FORCE
20190920,SOUTHERN CALIFORNIA,1657,1732,SOUTHERN CALIFORNIA,UTAH
20190921,NORTH CAROLINA,1457,1027,NORTH CAROLINA,APPALACHIAN ST.
20190921,TEXAS A&M,1697,1037,TEXAS A&M,AUBURN
20190921,NORTH CAROLINA ST.,1490,1047,NORTH CAROLINA ST.,BALL ST.
20190921,RICE,1574,1051,RICE,BAYLOR
20190921,RUTGERS,1587,1067,RUTGERS,BOSTON COLLEGE
20190921,KENT ST.,1331,1071,KENT ST.,BOWLING GREEN
20190921,MISSISSIPPI,1433,1107,MISSISSIPPI,CALIFORNIA
20190921,WASHINGTON ST.,1754,1110,WASHINGTON ST.,UCLA
20190921,PITTSBURGH,1545,1128,PITTSBURGH,UCF
20190921,MIAMI (FL),1415,1129,MIAMI (FL),CENTRAL MICH.
20190921,MASSACHUSETTS,1400,1149,MASSACHUSETTS,COASTAL CARO.
20190921,ARIZONA ST.,1028,1157,ARIZONA ST.,COLORADO
20190921,INDIANA,1306,1164,INDIANA,CONNECTICUT
20190921,TEXAS ST.,1670,1254,TEXAS ST.,GEORGIA STATE
20190921,MISSISSIPPI ST.,1430,1334,MISSISSIPPI ST.,KENTUCKY
20190921,VANDERBILT,1736,1365,VANDERBILT,LSU
20190921,FLORIDA ST.,1234,1367,FLORIDA ST.,LOUISVILLE
20190921,OHIO ST.,1518,1414,OHIO ST.,MIAMI (OH)
20190921,NORTHWESTERN,1509,1416,NORTHWESTERN,MICHIGAN ST.
20190921,WISCONSIN,1796,1418,WISCONSIN,MICHIGAN
20190921,CLEMSON,1147,1458,CLEMSON,CHARLOTTE
20190921,ILLINOIS,1301,1463,ILLINOIS,NEBRASKA
20190921,UTEP,1704,1466,UTEP,NEVADA
20190921,NEW MEXICO,1473,1472,NEW MEXICO,NEW MEXICO ST.
20190921,IOWA ST.,1311,1498,IOWA ST.,LA.-MONROE
20190921,GEORGIA,1257,1513,GEORGIA,NOTRE DAME
20190921,TEXAS,1703,1521,TEXAS,OKLAHOMA ST.
20190921,VIRGINIA,1746,1523,VIRGINIA,OLD DOMINION
20190921,STANFORD,1674,1529,STANFORD,OREGON
20190921,ARKANSAS,1031,1630,ARKANSAS,SAN JOSE ST.
20190921,UAB,1009,1646,UAB,SOUTH ALA.
20190921,MISSOURI,1434,1648,MISSOURI,SOUTH CAROLINA
20190921,TCU,1698,1663,TCU,SMU
20190921,ALABAMA,1008,1664,ALABAMA,SOUTHERN MISS.
20190921,OHIO,1519,1671,OHIO,LA.-LAFAYETTE
20190921,BUFFALO,1086,1690,BUFFALO,TEMPLE
20190921,FLORIDA,1235,1694,FLORIDA,TENNESSEE
20190921,NORTH TEXAS,1497,1706,NORTH TEXAS,UTSA
20190921,COLORADO ST.,1156,1709,COLORADO ST.,TOLEDO
20190921,AKRON,1005,1716,AKRON,TROY
20190921,SAN DIEGO ST.,1626,1731,SAN DIEGO ST.,UTAH ST.
20190921,BYU,1077,1756,BYU,WASHINGTON
20190921,KANSAS,1328,1768,KANSAS,WEST VIRGINIA
20190921,SYRACUSE,1688,1774,SYRACUSE,WESTERN MICH.
20190921,TULSA,1719,1811,TULSA,WYOMING
20190926,MEMPHIS,1404,1726,MEMPHIS,NAVY
20190927,CALIFORNIA,1107,1028,CALIFORNIA,ARIZONA ST.
20190927,VIRGINIA TECH,1742,1193,VIRGINIA TECH,DUKE
20190927,MARYLAND,1392,1539,MARYLAND,PENN ST.
20190927,AIR FORCE,1721,1630,AIR FORCE,SAN JOSE ST.
20190928,MASSACHUSETTS,1400,1005,MASSACHUSETTS,AKRON
20190928,WESTERN KY.,1772,1009,WESTERN KY.,UAB
20190928,TROY,1716,1030,TROY,ARKANSAS ST.
20190928,TOLEDO,1709,1077,TOLEDO,BYU
